condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,task_index,folder,task_label,var,outcome
0.2Alpha_10000Neurons,0.470655362075163,0.014698601198791779,25,0.002939720239758356,0.0057618516699263775,0.46489351040523663,0.4764172137450894,0.2,10000,0.1754025273990141,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
0.2Alpha_AllSigNeurons,0.47139959897106015,0.015397424491754363,25,0.0030794848983508724,0.00603579040076771,0.46536380857029247,0.47743538937182783,0.2,AllSig,0.1754025273990141,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
0.6Alpha_2000Neurons,0.4831086555349102,0.013423571271079727,25,0.0026847142542159455,0.005262039938263253,0.477846615596647,0.48837069547317347,0.6,2000,0.3658316375521117,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
0.6Alpha_10000Neurons,0.46243866876564993,0.01737683707180322,25,0.003475367414360644,0.006811720132146862,0.45562694863350306,0.4692503888977968,0.6,10000,6.138291183215144e-05,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
0.6Alpha_AllSigNeurons,0.46409364799437314,0.022814947745250832,25,0.004562989549050166,0.008943459516138326,0.4551501884782348,0.4730371075105115,0.6,AllSig,0.035084293344627,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
Original,0.5198514318866265,0.025283123209889617,25,0.005056624641977923,0.009910984298276729,0.5099404475883498,0.5297624161849033,0.0,Original,,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
-0.6Alpha_2000Neurons,0.5219826490542692,0.02136029021659646,25,0.004272058043319292,0.008373233764905813,0.5136094152893633,0.530355882819175,-0.6,2000,0.8290035791350674,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
-0.6Alpha_10000Neurons,0.543472103177972,0.028522089636877676,25,0.0057044179273755356,0.011180659137656049,0.5322914440403159,0.5546527623156281,-0.6,10000,0.0034234131882017,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
-0.6Alpha_AllSigNeurons,0.5376038693870214,0.016414843000716977,25,0.0032829686001433953,0.006434618456281055,0.5311692509307404,0.5440384878433024,-0.6,AllSig,0.0034234131882017,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
0.2Alpha_2000Neurons,0.5214110995040984,0.021782854001645893,25,0.0043565708003291785,0.008538878768645189,0.5128722207354531,0.5299499782727436,0.2,2000,0.8290035791350674,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
0.2Alpha_10000Neurons,0.512456225881429,0.02523834974422454,25,0.005047669948844908,0.00989343309973602,0.502562792781693,0.522349658981165,0.2,10000,0.4410307191928264,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
0.2Alpha_AllSigNeurons,0.5185673921230193,0.02177566288664403,25,0.004355132577328806,0.008536059851564458,0.5100313322714548,0.5271034519745837,0.2,AllSig,0.8290035791350674,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
0.6Alpha_2000Neurons,0.5228983937091882,0.026297228904104436,25,0.005259445780820887,0.010308513730408938,0.5125898799787793,0.5332069074395972,0.6,2000,0.8290035791350674,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
0.6Alpha_10000Neurons,0.5044444529258054,0.027007534503594596,25,0.005401506900718919,0.01058695352540908,0.49385749940039636,0.5150314064512145,0.6,10000,0.1284326536936127,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
0.6Alpha_AllSigNeurons,0.4154203224201861,0.11822455333236448,25,0.023644910666472896,0.046344024906286876,0.36907629751389925,0.461764347326473,0.6,AllSig,0.0001165767610999,2,scene_construction,"Scene
construction",lex_density,"Lexical idea
density"
